ID;Nazwa Atrakcji;Cena;Opis;Kategoria;Miasto
1;Statua Wolności i Ellis Island;73,08;Symbol wolności i demokracji, oferujący zwiedzanie wyspy Liberty oraz muzeum imigracji na Ellis Island. ;Zwiedzanie;Nowy Jork
2;Empire State Building;170,52;Ikoniczny wieżowiec z tarasem widokowym na 86. piętrze, oferujący panoramiczne widoki na miasto. ;Zwiedzanie;Nowy Jork
3;Central Park;0;Rozległy park miejski z licznymi ścieżkami, jeziorami i atrakcjami rekreacyjnymi.;Rekreacja;Nowy Jork
4;Muzeum Metropolitalne Sztuki (Met);267;Jedno z największych muzeów sztuki na świecie, z kolekcjami z różnych epok i kultur. ;Zwiedzanie;Nowy Jork
5;Times Square;0;Tętniące życiem skrzyżowanie z jasnymi billboardami, teatrami i sklepami.;Rozrywka;Nowy Jork
6;Most Brookliński;0;Historyczny most łączący Manhattan z Brooklynem, oferujący malownicze widoki.;Zwiedzanie;Nowy Jork
7;Muzeum Sztuki Nowoczesnej (MoMA);123;Wiodące muzeum sztuki współczesnej z dziełami takich artystów jak Van Gogh, Warhol czy Picasso. ;Zwiedzanie;Nowy Jork
8;Broadway;406;Ceny od 100 USD – dzielnica teatralna znana z licznych produkcji scenicznych i musicali.  ;Rozrywka;Nowy Jork
9;Fifth Avenue;0;Znana ulica handlowa z luksusowymi butikami i flagowymi sklepami.;Zakupy;Nowy Jork
10;Rockefeller Center;0;"Kompleks komercyjny z lodowiskiem, tarasem widokowym ""Top of the Rock"" i słynną choinką świąteczną.";Zwiedzanie;Nowy Jork
11;Amerykańskie Muzeum Historii Naturalnej;123;Rozległe muzeum z eksponatami dotyczącymi przyrody, dinozaurów i kosmosu.  ;Zwiedzanie;Nowy Jork
12;High Line;0;Podniesiony park liniowy zbudowany na dawnej linii kolejowej, oferujący unikalne widoki na miasto.;Rekreacja;Nowy Jork
13;Katedra św. Patryka;0;Neogotycka katedra położona przy Fifth Avenue.;Zwiedzanie;Nowy Jork
14;Wall Street;0;"Centrum finansowe z New York Stock Exchange i słynną rzeźbą ""Charging Bull"".";Zwiedzanie;Nowy Jork
15;Bryant Park;0;Popularny park miejski z sezonowymi wydarzeniami, lodowiskiem i kawiarenkami.;Rekreacja;Nowy Jork
16;Chinatown;0;Tętniąca życiem dzielnica z autentycznymi restauracjami i sklepami oferującymi azjatyckie produkty.;Kultura;Nowy Jork
17;Muzeum Guggenheima;101,5;Muzeum sztuki współczesnej z charakterystyczną spiralną architekturą autorstwa Franka Lloyda Wrighta.;Zwiedzanie;Nowy Jork
18;Intrepid Sea, Air & Space Museum;133,98;Muzeum na lotniskowcu USS Intrepid, prezentujące eksponaty związane z lotnictwem, marynarką wojenną i eksploracją kosmosu. ;Zwiedzanie;Nowy Jork
19;Muzeum 9/11;135;Muzeum upamiętniające ofiary zamachów z 11 września 2001 roku, z eksponatami i relacjami świadków.  ;Zwiedzanie;Nowy Jork
20;One World Observatory;189;Taras widokowy na szczycie One World Trade Center, oferujący panoramiczne widoki na Nowy Jork.  ;Zwiedzanie;Nowy Jork
21;British Museum;0;Jedno z największych muzeów na świecie, z kolekcjami obejmującymi dwa miliony lat historii ludzkości.;Zwiedzanie;Londyn
22;Tower of London;150,7;Historyczna twierdza, która służyła jako pałac, więzienie i skarbiec, obecnie dom dla klejnotów koronnych. ;Zwiedzanie;Londyn
23;London Eye;136,08;Gigantyczne diabelskie koło oferujące panoramiczne widoki na miasto.;Rozrywka;Londyn
24;Buckingham Palace;133,56;Oficjalna rezydencja brytyjskiego monarchy. Zwiedzanie obejmuje State Rooms i obserwację zmiany warty.;Zwiedzanie;Londyn
25;Hyde Park;0;Jeden z największych parków w Londynie, idealny na spacery, pikniki i rekreację.;Rekreacja;Londyn
26;Westminster Abbey;120,96;Gotycka katedra, miejsce koronacji i pochówku wielu brytyjskich monarchów.;Zwiedzanie;Londyn
27;The Shard;161,28;Najwyższy budynek w Londynie z tarasem widokowym oferującym 360-stopniowe widoki na miasto.;Zwiedzanie;Londyn
28;Camden Market;0;Tętniący życiem rynek z różnorodnymi straganami oferującymi jedzenie, ubrania i rękodzieło.;Zakupy;Londyn
29;Tate Modern;0;Muzeum sztuki nowoczesnej mieszczące się w dawnej elektrowni, z dziełami takich artystów jak Picasso czy Warhol.;Zwiedzanie;Londyn
30;St. Paul's Cathedral;100,8;Imponująca katedra z charakterystyczną kopułą, zaprojektowana przez Sir Christophera Wrena.;Zwiedzanie;Londyn
31;Covent Garden;0;Popularna dzielnica z rynkiem, sklepami, restauracjami i ulicznymi artystami.;Rozrywka;Londyn
32;Natural History Museum;0;Muzeum przyrodnicze z imponującą kolekcją dinozaurów i innych eksponatów związanych z naturą.;Zwiedzanie;Londyn
33;Science Museum;0;Interaktywne muzeum prezentujące osiągnięcia nauki i technologii.;Zwiedzanie;Londyn
34;Kensington Gardens;0;Piękne ogrody otaczające Pałac Kensington, idealne na relaks i spacery.;Rekreacja;Londyn
35;Soho;0;Tętniąca życiem dzielnica znana z licznych barów, klubów i restauracji. Centrum życia nocnego Londynu.;Rozrywka;Londyn
36;Greenwich Observatory;80,64;Historyczne obserwatorium, przez które przebiega południk zerowy. Oferuje wgląd w historię astronomii.;Zwiedzanie;Londyn
37;Portobello Road Market;0;Słynny rynek antyków i unikatowych przedmiotów, odbywający się w soboty.;Zakupy;Londyn
38;Houses of Parliament;141,12;Siedziba brytyjskiego parlamentu z charakterystyczną wieżą zegarową Big Ben.;Zwiedzanie;Londyn
39;Victoria and Albert Museum;0;Muzeum sztuki i designu z bogatymi kolekcjami obejmującymi m.in. modę, ceramikę i rzeźbę.;Zwiedzanie;Londyn
40;Regent's Park;0;Malowniczy park z ogrodami różanymi, teatrem na świeżym powietrzu i zoo.;Rekreacja;Londyn
41;Wieża Eiffla;108,94;Ikoniczna wieża z żelaza, oferująca panoramiczne widoki na miasto z trzech poziomów.;Zwiedzanie;Paryż
42;Luwr;71,57;Największe muzeum sztuki na świecie, dom Mona Lisy i wielu innych arcydzieł.;Zwiedzanie;Paryż
43;Katedra Notre-Dame;0;Gotycka katedra znana z imponujących witraży i architektury, obecnie w trakcie renowacji po pożarze w 2019 roku.;Zwiedzanie;Paryż
44;Sainte-Chapelle;48,42;Kaplica znana z oszałamiających witraży przedstawiających biblijne sceny.;Zwiedzanie;Paryż
45;Muzeum Orsay;67,36;Muzeum sztuki impresjonistycznej i postimpresjonistycznej mieszczące się w dawnej stacji kolejowej.;Zwiedzanie;Paryż
46;Łuk Triumfalny;54,73;Monument upamiętniający poległych wojen napoleońskich, z tarasem widokowym na szczycie.;Zwiedzanie;Paryż
47;Montmartre;0;Artystyczna dzielnica znana z bazyliki Sacré-Cœur, wąskich uliczek i kawiarni.;Kultura;Paryż
48;Pałac Wersalski;75,78;Luksusowy pałac królów Francji z rozległymi ogrodami i salą lustrzaną.;Zwiedzanie;Paryż
49;Centre Pompidou;58,94;Muzeum sztuki nowoczesnej z charakterystyczną architekturą i bogatą kolekcją dzieł.;Zwiedzanie;Paryż
50;Pola Elizejskie;0;Słynna aleja pełna sklepów, restauracji i teatrów, prowadząca do Łuku Triumfalnego.;Zakupy;Paryż
51;Ogrody Luksemburskie;0;Malowniczy park z pałacem, fontannami i licznymi alejkami spacerowymi.;Rekreacja;Paryż
52;Moulin Rouge;366,27;Słynny kabaret oferujący widowiskowe pokazy taneczne i muzyczne.;Rozrywka;Paryż
53;Katakumby Paryża;122,09;Podziemne ossuarium zawierające szczątki milionów paryżan, dostępne do zwiedzania.;Zwiedzanie;Paryż
54;Plac de la Concorde;0;Największy plac w Paryżu, znany z obelisku i fontann, o bogatej historii.;Zwiedzanie;Paryż
55;Opera Garnier;58,94;Imponujący budynek opery z bogato zdobionym wnętrzem i słynnym plafonem Chagalla.;Zwiedzanie;Paryż
56;Muzeum Rodina;54,73;Muzeum poświęcone twórczości rzeźbiarza Augusta Rodina, z pięknymi ogrodami.;Zwiedzanie;Paryż
57;Plac Vendôme;0;Elegancki plac otoczony luksusowymi butikami i hotelami, z kolumną Napoleona pośrodku.;Zakupy;Paryż
58;Muzeum Cluny;50,52;Muzeum średniowiecza z kolekcją tapiserii, rzeźb i artefaktów.;Zwiedzanie;Paryż
59;La Défense;0;Nowoczesna dzielnica biznesowa z imponującymi wieżowcami i Grande Arche.;Zwiedzanie;Paryż
60;Disneyland Paryż;366,27;Popularny park rozrywki z licznymi atrakcjami dla dzieci i dorosłych.;Rozrywka;Paryż
61;Sagrada Família;109,46;Niedokończona bazylika zaprojektowana przez Antoniego Gaudíego, będąca symbolem Barcelony.  ;Zwiedzanie;Barcelona
62;Park Güell;42,1;Kolorowy park z mozaikami i unikalnymi strukturami, również autorstwa Gaudíego.  ;Zwiedzanie;Barcelona
63;Casa Batlló;105,25;Modernistyczna kamienica o fantazyjnej fasadzie, jedno z arcydzieł Gaudíego.  ;Zwiedzanie;Barcelona
64;La Rambla;0;Tętniąca życiem promenada pełna sklepów, restauracji i artystów ulicznych.;Rozrywka;Barcelona
65;Katedra w Barcelonie;37,89;Gotycka katedra z XIII wieku, znana z pięknych witraży i krużganków.;Zwiedzanie;Barcelona
66;Muzeum Picassa;50,52;Kolekcja dzieł Pabla Picassa, ukazująca jego wczesne lata twórczości.;Zwiedzanie;Barcelona
67;Camp Nou;117,88;Stadion FC Barcelony, oferujący zwiedzanie muzeum i zaplecza stadionu.;Rozrywka;Barcelona
68;Plaża Barceloneta;0;Popularna plaża miejska, idealna do opalania i kąpieli w Morzu Śródziemnym.;Plażowanie;Barcelona
